9940   Overlord Leg
HD_A_1000   Dragon Head
BD_A_1001   Dragon Body
AM_A_1002   Dragon Arms
LG_A1003   Dragon Legs
   
   ### Armor ###
HD_A_1900   Fallen Knight Helm
BD_A_1900   Fallen Knight Armor
AM_A_1900   Fallen Knight Gauntlets
LG_A1900   Fallen Knight Trousers
HD_A_1950   Knight Helm
BD_A_1950   Knight Armor
AM_A_1950   Knight Gauntlets
LG_A1950   Knight Leggings
HD_A_2000   Vilhelm's Helm
BD_A_2000   Vilhelm's Armor
AM_A_2000   Vilhelm's Gauntlets
LG_A2000   Vilhelm's Leggings
HD_A_2100   Firelink Helm
BD_A_2100   Firelink Armor
AM_A_2100   Firelink Gauntlets
LG_A2100   Firelink Leggings
HD_A_2150   Sellsword Helm
BD_A_2150   Sellsword Armor
AM_A_2150   Sellsword Gauntlet
LG_A2150   Sellsword Trousers
HD_A_2200   Herald Helm
BD_A_2200   Herald Armor
AM_A_2200   Herald Gloves
LG_A2200   Herald Trousers
HD_A_2250   Sunless Veil
BD_A_2250   Sunless Armor
AM_A_2250   Sunless Gauntlets
LG_A2250   Sunless Leggings
HD_A_2300   Black Hand Hat
BD_A_2300   Black Hand Armor
AM_A_2300   Assassin Gloves
LG_A2300   Assassin Trousers
HD_A_2310   Assassin Hood
BD_A_2310   Assassin Armor
HD_A_2350   Xanthous Crown
BD_A_2350   Xanthous Overcoat
AM_A_2350   Xanthous Gloves
LG_A2350   Xanthous Trousers
HD_A_2400   Northern Helm
BD_A_2400   Northern Armor
AM_A_2400   Northern Gloves
LG_A2400   Northern Trousers
HD_A_2450   Morne's Helm
BD_A_2450   Morne's Armor
AM_A_2450   Morne's Gauntlets
LG_A2450   Morne's Leggings
HD_A_2500   Silver Mask
BD_A_2500   Leonhard's Garb
AM_A_2500   Leonhard's Gauntlets
LG_A2500   Leonhard's Trousers
HD_A_2550   Sneering Mask
BD_A_2550   Pale Shade Robe
AM_A_2550   Pale Shade Gloves
LG_A2550   Pale Shade Trousers
HD_A_2600   Sunset Helm
BD_A_2600   Sunset Armor
AM_A_2600   Sunset Gauntlets
LG_A2600   Sunset Leggings
HD_A_2650   Old Sage's Blindfold
BD_A_2650   Cornyx's Garb
AM_A_2650   Cornyx's Wrap
LG_A2650   Cornyx's Skirt
HD_A_2700   Executioner Helm
BD_A_2700   Executioner Armor
AM_A_2700   Executioner Gauntlets
LG_A2700   Executioner Leggings
HD_A_2750   Billed Mask
BD_A_2750   Black Dress
AM_A_2750   Black Gauntlets
LG_A2750   Black Leggings
HD_A_2800   Pyromancer Crown
BD_A_2800   Pyromancer Garb
AM_A_2800   Pyromancer Wrap
LG_A2800   Pyromancer Trousers
BD_A_2850   Antiquated Plain Garb
AM_A_2850   Violet Wrappings
LG_A2850   Loincloth
HD_A_2900   Court Sorcerer Hood
BD_A_2900   Court Sorcerer Robe
AM_A_2900   Court Sorcerer Gloves
LG_A2900   Court Sorcerer Trousers
HD_A_2950   Shira's Crown
BD_A_2950   Shira's Armor
AM_A_2950   Shira's Gloves
LG_A2950   Shira's Trousers
HD_A_3000   Sorcerer Hood
BD_A_3000   Sorcerer Robe
AM_A_3000   Sorcerer Gloves
LG_A3000   Sorcerer Trousers
BD_A_3010   Clandestine Coat
HD_A_3100   Cleric Hat
BD_A_3100   Cleric Blue Robe
AM_A_3100   Cleric Gloves
LG_A3100   Cleric Trousers
HD_A_3200   Lapp's Helm
BD_A_3200   Lapp's Armor
AM_A_3200   Lapp's Gauntlets
LG_A3200   Lapp's Leggings
HD_A_3300   Grotto Hat
BD_A_3300   Grotto Robe
AM_A_3300   Grotto Wrap
LG_A3300   Grotto Trousers
HD_A_4000   Steel Soldier Helm
BD_A_4000   Deserter Armor
LG_A4000   Deserter Trousers
HD_A_4020   Thief Mask
HD_A_4300   Sage's Big Hat
HD_A_4400   Aristocrat's Mask
BD_A_4400   Jailer Robe
AM_A_4400   Jailer Gloves
LG_A4400   Jailer Trousers
HD_A_4450   Saint's Veil
BD_A_4450   Saint's Dress
HD_A_4500   Footman's Hood
BD_A_4500   Footman's Overcoat
AM_A_4500   Footman's Bracelet
LG_A4500   Footman's Trousers
HD_A_4600   Grave Warden Hood
BD_A_4600   Grave Warden Robe
AM_A_4600   Grave Warden Wrap
LG_A4600   Grave Warden Skirt
HD_A_4700   Worker Hat
BD_A_4700   Worker Garb
AM_A_4700   Worker Gloves
LG_A4700   Worker Trousers
HD_A_4750   Thrall Hood
HD_A_4800   Evangelist Hat
BD_A_4800   Evangelist Robe
AM_A_4800   Evangelist Gloves
LG_A4800   Evangelist Trousers
HD_A_4850   Scholar's Shed Skin
BD_A_4850   Scholar's Robe
HD_A_4900   Winged Knight Helm
BD_A_4900   Winged Knight Armor
